Video ID,Views,Likes,Comments,Duration,Title
q9OIT7W24V8,"13,349,066","155,752","8,246",PT1H5M50S,Escape from Tarkov. Raid. Full film.
luACyducDNQ,"1,159,625","47,500","1,565",PT26M29S,THE GREATEST SOLO REDEMPTION - Escape From Tarkov
n2LuRc9VuFM,"1,135,944","39,979","1,131",PT12M33S,ESCAPE FROM TARKOV | The Non-Confusing Guide to Starting
vkfmSMR8Sa8,"417,063","14,124",175,PT7H55M51S,🔴LIVE - DR DISRESPECT - ESCAPE FROM TARKOV ACTION - LVL 18
A8N-YndWes0,"13,766",477,61,PT15M22S,Reserve BUFFED (Loot Increase) - TARKOV UPDATE
l0SBe7Xge0s,"83,958","2,159",92,PT25M54S,WEIRD and FUNNY Tarkov Day...
xtKygZImnWA,"31,479",817,63,PT1H6M25S,Escape From Tarkov Complete Raid Series
p4w9LpEXPnw,"88,190","2,039",140,PT11M18S,The Server Is STACKED - Full Raid - Escape From Tarkov
oyaBJZLSIkA,"10,990",276,40,PT15M59S,RESERVE BUFFED !!! | Billion Grind Part : 25 | Escape From Tarkov
CBoLg7NGqKo,"184,650","7,763",277,PT23M30S,THE RUSSIAN AR-15! - Escape From Tarkov ADAR DMR Build Gameplay
1JTUQJOjDxI,"145,333","5,470",321,PT1H32M49S,Complete Escape From Tarkov Beginner Guide 2022 Edition! - Patch 12.12
f_-uRc59_7U,"4,757",194,11,PT10M35S,Escape From Tarkov Highlights - EFT WTF MOMENTS #200
FAVv1FLIkGs,"116,561","2,655",109,PT26M17S,INTENSE FIREFIGHTS - Escape From Tarkov
QQ6YEbUbkiY,"96,545","4,477",187,PT13M57S,Escape from Tarkov is a game like no other
VuWWMiUFyGY,"200,572","8,560",256,PT12M25S,There&#39;s Nothing like Headshots in Escape From Tarkov!
fMrVzJCvgN4,"64,965","1,595",63,PT13M13S,NOT LIKE THIS - Full Raid - Escape From Tarkov
L_tWKIZ44Mg,"328,568","15,056",651,PT18M46S,Escape from Tarkov is Pain but I like it...
