Video ID,Views,Likes,Comments,Duration,Title
kffacxfA7G4,"2,679,116,768","20,494,164","4,786,239",PT3M40S,Justin Bieber - Baby (Official Music Video) ft. Ludacris
cbW4AL0Tt9A,"41,180",171,0,P0D,Toddler Learning Video | Baby Videos for Babies and Toddlers | First Words | Learn to Talk | Speech
Uim4GwSfzxY,"69,879,488","714,006","32,422",PT3M35S,Baby Justin Bieber Lyrics
eFkHyZQ_DG0,0,348,0,PT6M31S,Baby Shark Dance Baby Shark Animal Songs Wheels on the bus goes @HappyKids US- Nursery Rhymes
q8hdSF60U0A,"37,941,778","450,379","7,053",PT3M31S,Justin Bieber - Baby ft. Ludacris (Lyrics Video)
Cn3zeRl_f6c,"50,432,616","269,635","2,890",PT2M24S,"Quality Control, Lil Baby, DaBaby - Baby (Audio)"
3esN04ejnho,"413,728","5,479",130,PT3M30S,Justin Bieber - Baby (Lyrics) ft. Ludacris
lV_7mTR4UNM,"361,322","3,035",0,P0D,[LIVE] Top Super JoJo Nursery Rhymes &amp; Kids Songs! | ABC Song | Happy Birthday | Baby Shark and More
Vdr0K_EwBf8,"4,992,606","34,729",0,PT33M,Cody&#39;s Favorite Songs - Wheels On The Bus + More Nursery Rhymes &amp; Kids Songs - CoComelon
XqZsoesa55w,"10,191,957,711","33,626,765",0,PT2M17S,Baby Shark Dance | #babyshark Most Viewed Video | Animal Songs | PINKFONG Songs for Children
0znV0_SZk9w,"46,153,283","244,813","3,240",PT4M39S,Baby - Eslabon Armado
0GbwYFqN1iE,"122,936,022","1,075,551","28,876",PT3M48S,"Quality Control, Lil Baby, &amp; DaBaby - &quot;Baby&quot; (Official Music Video)"
tFoUuFq3vHw,"1,062,055,033","1,299,687",0,PT1H14M37S,Five Little Ducks | Learn with Little Baby Bum | Nursery Rhymes for Babies | ABCs and 123s
Nfx0wsJSliw,"2,021,044","12,358",0,PT30M27S,The Wolf and the Seven Baby Sheep | Super JoJo Storytime + Nursery Rhymes &amp; Kids Songs - Super JoJo
sAaABrd81Eg,"2,202,615","11,633",466,PT8M19S,Reborn Baby Evelyn Had A Diaper Blowout? Bath &amp; Nap Routine With My Beautiful Full Vinyl Reborn Baby
cVrB_LSkln8,"11,680,828","65,473",0,PT59M4S,Row Row Row Your Boat + More Nursery Rhymes &amp; Kids Songs - CoComelon
myz0kxHLnLU,"37,122,514","148,878","2,724",PT50M47S,Best Videos Of Funny Twin Babies Compilation  - Twins Baby Video
xHhdn4RX7as,"26,493,469","121,469",0,PT39M31S,5 Little Animals Song + More Nursery Rhymes &amp; Kids Songs - CoComelon
hlznpxNGFGQ,"287,309,490","1,622,911","52,158",PT4M8S,Clean Bandit - Baby (feat. Marina &amp; Luis Fonsi) [Official Video]
3qVJ8PzzZV4,"26,260,775","138,440",0,PT34M43S,Humpty Dumpty Song + More Nursery Rhymes &amp; Kids Songs - CoComelon
V97ZJC6mChM,"12,024,053","63,892",0,PT35M2S,Dream Song + More Nursery Rhymes &amp; Kids Songs - CoComelon
D0b3_tr2-sw,"3,485,414","19,326",0,PT21M58S,"Baby Wolfoo, Which Bottle Milk Do You Like Best? - Kids Stories About Baby | Wolfoo Channel"
DBwfrKIPr_0,"77,494",491,23,PT8M26S,Cutest Twins Baby Playing and Laughing Together || Just Laugh
5dJmua4ykdA,"363,529,115","1,741,509","22,044",PT3M7S,Baby Dance - Scooby Doo Pa Pa (Music Video HD)
E2Wqy_dky1o,"112,346",838,0,PT13M53S,AFTERNOON ROUTINE with REBORN BABY ASHIA
lvCYQYh7azg,"32,752",696,0,PT7M11S,New Baby Alive Foodie Cuties dolls
9kHJhALlzBA,"1,793,252","10,314",0,PT32M57S,Baby&#39;s First Day of Preschool | Playtime for Kids | Nursery Rhymes | Kids Songs | BabyBus
KofUu0gomHQ,"280,375","15,733",0,PT56S,আজ কি?.... কোথায় আবার বে বে যাবে?🙄| Baby Mom Comedy #shorts
c789K-fse6k,"22,030,237","107,667",0,PT36M29S,CoComelon Colors Song + More Nursery Rhymes &amp; Kids Songs - CoComelon
